COVINGTON CHAMBER OF COMMERCE — CONTACT LIST
Generated: February 23, 2026
================================================================================


EMAIL DISTRIBUTION LIST (139 contacts)
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  Above It All Travel                                       sconwell@dreamvacations.com
  Emerald Theatre                                           info@emeraldtheatre.org
  EmpowerMe Arts                                            admin@empowermearts.com
  Ensemble Ballet Theatre                                   office@ebtballet.org
  Enumclaw Stationers Office & Print                        tonyhancuff@enumclawstationers.com
  Farm, Fare & Floral                                       jon@thronecfg.com
  Farmers Insurance - Ahern Insurance Agency                michaela.jahern@farmersagency.com
  Firehouse Subs                                            tracie.leistiko@firehousesubs.com
  Five Hooks Seafood Food Truck                             saitop12@gmail.com
  Five Star Homes NW                                        rick@fivestarhomesnw.com
  Fred Meyer - Covington                                    april.haskins@stores.fredmeyer.com
  Friends of Logan Evans                                    loganevans.civic@gmail.com
  Game Shelf, The                                           info@gameshelfwa.com
  Greater Maple Valley Veterans Memorial Foundation         info@maplevalleyvets.org
  Greater Seattle Business Association                      illstaykindred@gmail.com
  Green City Pest Control                                   info@greencitypestcontrol.com
  Green River College                                       gfrasier@greenriver.edu
  Green River College Foundation                            foundation@greenriver.edu
  Grill in the Woods at Druids Glen                         adeline.nelsen@golfdruids.com
  Haeger Orthodontics                                       team@mybraces.net
  Hanis Irvine Prothero, PLLC                               phanis@hiplawfirm.com
  Happy Lemon                                               hlcovingtonwa@gmail.com
  Health Insurance NW                                       bobmay@healthinsurancenw.com
  Humphrey Accounting & Tax                                 info@humphreyaccounting.com
  Inside the Cubicle                                        hello@insidethecubicle.com
  Iron Grill: Mongolian BBQ                                 theirongrill@outlook.com
  Java! Java! Coffee Co.                                    brett@javajavacoffee.com
  Jean Wall State Farm Insurance                            jean@jeanwallinsurance.com
  Kathy Fosjord                                             kfosjord@gmail.com
  KD Water Systems                                          info@kdwatersystems.com
  Kent Community Foundation                                 info@kentcommunityfoundation.org
  Kent Education Association                                kentea@washingtonea.org
  Kent School District #415                                 communications@kent.k12.wa.us
  Kent School District Career & Technical Education         wade.barringer@kent.k12.wa.us
  KeyBank, NA                                               michael_s_jonasson@keybank.com
  King County Councilmember Reagan Dunn                     cody.eccles@kingcounty.gov
  Kona Ice of Maple Valley                                  bradshaw@kona-ice.com
  Lakepointe                                                marita.benedict@brookfieldrp.com
  Legendary Doughnuts                                       shannon@legendarydoughnuts.com
  Les Schwab Tire Center                                    garret.w.melton@lesschwab.com
  Maple Valley Farmers' Market                              info@maplevalleyfarmersmarket.com
  Multi-Service Center                                      info@mschelps.org
  MultiCare South King Region                               lisa.wallace@multicare.org
  My Perfectly Imperfect Boutique                           myperfectlyimperfectboutique@gmail.com
  New Craft Different Day                                   temeyosakeylona@yahoo.com
  Newberry Realty Inc                                       support@newberryrealty.com
  Next Chapter Business Brokerage, Inc.                     taralee@nextchapterbb.com
  Nikki's Restaurant                                        mjaimev@hotmail.com
  Novo Apartments                                           manager@novoapts.com
  Our Hive Juicery                                          ourhivejuicery@gmail.com
  Overwatch Security Services, LLC                          overwatchsecureservices@gmail.com
  Pivotal Readiness                                         greg@pivotalreadiness.com
  PNW Cheesecake Co.                                        pnwcheesecakes@gmail.com
  PNW Sports Institute powered by OPT                       aturley@outpatientpt.com
  Pooja Anoop Photography                                   pooja@pooja-anoop.com
  Prevail Executive Coaching, LLC                           bdejong@prevailexecutivecoaching.com
  Puget Sound Regional Fire Authority                       fire@pugetsoundfire.org
  Real Kids Learning                                        niki@reallifechurch.com
  Real Life Church                                          office@reallifechurch.com
  Red Canoe Credit Union                                    info@redcanoecu.com
  Rein Fire Ranch                                           info@reinfireranch.com
  Republic Services                                         jwagner4@republicservices.com
  Ristrettos Coffee and Wine                                info@ristrettoscoffeeandwine.com
  Rotary Club of Covington                                  covingtonrotaryclub@gmail.com
  Saggau Wealth Management                                  abigail.damoiseaux@edwardjones.com
  Schram & Associates                                       frances@schramandassociates.com
  Seattle-King County Realtors - Sam Pace                   sam@sampace.com
  Seattle's Union Gospel Mission                            bchandler@ugm.org
  See Ya Later Foundation                                   infowa@seeyalater.org
  Signature Kettlebell                                      joshua@signaturekettlebell.com
  Small Business Development Center                         kgrossman@greenriver.edu
  Smith Brothers Farms                                      dneedles@smithbrothersfarms.com
  Soos Creek Water & Sewer District                         wappleton@sooscreek.com
  South East Asian Mart                                     contact@southeastasianmart.com
  Stephanie Hunziker Real Estate                            steph@stephsellsseattle.com
  Stottle Winery Covington Tasting Room                     info@stottlewinery.com
  Tahogreen Eco Guardians                                   sasikumarvishal@tahogreen.org
  Tamara Paul Group - RE/MAX Northwest                      tamara@thetamarapaulgroup.com
  Team Marti - John L. Scott Real Estate                    teammarti@johnlscott.com
  The Beast Painter                                         thebeastpainter@gmail.com
  The Storehouse                                            info@covingtonstorehouse.org
  TLC Krafty Designs                                        tina@tlckraftydesigns.com
  Trapper's Sushi Co.                                       jose.delapena@trapperssushi.com
  Trillium Employment Services                              liesa@trillium.org
  Ube Overload, LLC                                         Ubeoverloadph@gmail.com
  UW Lifestyle Medicine powered by Pinnacle                 keith_boyd@valleymed.org
  Valley Automotive Repair & Electric                       bryan@valleyautoelectric.com
  Valley CERT & Red Cross Volunteer Community               info@safesecureprepared.us
  Valley Cities Behavioral Health Care                      info@valleycities.org
  Valley Medical Center                                     liz_nolan@valleymed.org
  Valley Vehicle Licensing                                  vvlicensing.17@gmail.com
  Vanhousing Painters LLC                                   vanhousingpaintersoffice@gmail.com
  Vine Maple Place                                          info@vinemapleplace.org
  Vineyard Park of Covington                                marny.mcduff@carepartnersliving.com
  Walls of Books                                            covington@wallsofbooks.net
  Walmart Covington                                         d0a024r.s05073.us@wal-mart.com
  Weatherly Inn Kent                                        sabrina@weatherlyinn.com
  WS Drywall & Textures LLC                                 wsdrywall1@gmail.com
  Your Gift of Life Foundation                              jamesd@yourgiftoflife.org


NO EMAIL ON FILE — PHONE CONTACT REQUIRED (1 contacts)
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  Balash, Ina                                               (253) 876-6203
